1,なし,なし,3,優勝は確実なのだ！さらにコインも10枚GETなのだ！
1,キノコ,緑甲羅,3,キノコはしっかり使いたいのだ。緑甲羅は邪魔なのだ？でも得意技の音痴ダッシュで突破なのだ！
1,キノコ,赤甲羅,3,キノコ使って1位を維持中ののだ！でも気をつけなきゃ、赤甲羅が迫ってくるのだ！
1,キノコ,金キノ,3,どうやらディフェンス力が上がってきたのだ！これはもう、優勝なのだ？
1,キラー,キラー,3,ずんだもん、キラー攻撃の応酬だのだ！でも大丈夫、10枚のコインで心は強く！？
1,キラー,クラクション,3,ずんだもんなのだ！1位は気持ち良いなのだー！でもキラーは怖いのだ…。
1,キラー,ゲッソー,3,ボクが守らなきゃ！キラーで一瞬のうちに逆転しのおう！
1,キラー,コイン,3,ひょっこりキラー！ でも心はコインでジャマしないのだ♪
1,キラー,サンダー,3,ボクここまで来たかのだ！キラーで一気にトップを取ったのだ！でもサンダーに気をつけなきゃなのだ？
1,キラー,スター,3,ずんだもんなのだ！スタートダッシュの勢いが止まらないのだ！
1,キラー,テレサ,3,ボクはキラーで1位、テレサに気をつけなのだ！でも、コインも大事に回収するのだ？
1,キラー,トゲゾーこうら,3,キラーの出番なのだ！追いつかれちゃうのだっ！
1,キラー,トリプルキノコ,3,思わずニヤリとしちゃうのだ！ キラー使ったら1位の座も見えたのだ〜！
1,キラー,トリプルバナナ,3,ずんだもん、一生懸命回避行動なのだ！でもキラー1発で全部せっかくのバナナがあっさり...残りもう少しのがんばりなのだ！
1,キラー,トリプル緑甲羅,3,やったー！１位独走じゃないのだ！でも落ち着いて、うっかりトリプル緑甲羅使わないようにするんだ！
1,キラー,トリプル赤甲羅,3,ボクが1位ののだ～！でもおっかなびっくり、トリプル赤甲羅を持っててのだ！キラーに注意して走るなのだ！
1,キラー,バナナ,3,やったー！1位なのだ！でもキラー持ちは要注意なのだ！
1,キラー,パックン,3,なんと！ キラーで1位をキープするのだ！でもパックンが待っているのだ。緊張するのだ！
1,キラー,ファイアフラワー,3,順位1位ってことは、ずんだもんの勝ちなのだ！キラー持ってファイヤーフラワーも堪能するのだ！？
1,キラー,ブーメラン,3,これで勝ち目が見えてきたのだ！ボクはキラーを駆使して1位をキープするのだ！
1,キラー,ホムへい,3,キラーののーだ！ でも、急な曲がり角は注意なのだ！ …そういえば、ずんだもん、お腹すいたのだ？
1,キラー,ミラクル8,3,勢いに乗ってキラーッ！さらにミラクル8で確定じゃ！ボクの勝ちなのだ？
1,キラー,緑甲羅,3,キラーの出番なのだ！
1,キラー,赤甲羅,3,ラッキーなのだ！キラーで最後のラップをどう着地させるかな？赤甲羅もバッチリ持ってるのだ！
1,キラー,金キノ,3,キラーの便利さにぷるぷるが止まらないのだ！でも金キノがあるから安心なのだ！？
1,クラクション,クラクション,3,さあ、これが私の力の見せ所なのだ！クラクションを連発し、1位をキープするのだ！
1,クラクション,ゲッソー,3,まだまだ余裕なのだ！クラクションで先頭のみんなを応援するのだ！
1,クラクション,コイン,3,1位キープなのだ！クラクションで邪魔されても、ボクはビクともしないのだ！
1,クラクション,サンダー,3,クラクションの音で敵を翻弄するのだ！勝利への道を切り開くのだ！
1,クラクション,スター,3,ボク、1位でのんびり3周目。クラクションで後続引き止めなのだ♪世界一のプリンセスに会えるやも？！
1,クラクション,テレサ,3,ちょっとクラクションでアピールしてみるのだ♪でも、テレサにはひるんじゃうのだな〜？
1,クラクション,トゲゾーこうら,3,これがプロのレーシングだなのだ！リードをキープし、アイテムもしっかり管理するのだ！
1,クラクション,トリプルキノコ,3,クラクション鳴らしちゃお！皆に耳障りな響きを届けながら、一気にゴール目指すのだ！
1,クラクション,トリプルバナナ,3,トリプルバナナは宝だねのだ！でも、クラクションで旗まであと少し！ラッキー！
1,クラクション,トリプル緑甲羅,3,ボクの1位は納得いくのだ！もっと差をつけようかな？のだ？
1,クラクション,トリプル赤甲羅,3,ボクたちずんだもんは、走って走って… うわっ！クラクションで止められちゃったのだ！でも喜びは短かいのだ、ボクも止めてあげるのだ！
1,クラクション,バナナ,3,ボクのクラクションで後続に警告なのだ！でもバナナも持ってるのだ！
1,クラクション,パックン,3,ボクのリードは、もう振り切れたのだ！でも、パックンが怖いのだ…！
1,クラクション,ファイアフラワー,3,ずんだもん、最高の立ち位置なのだ！大丈夫なのだ！クラクション使ってライバルにアピールののだ！
1,クラクション,ブーメラン,3,なんだか楽しいのだ～♪クラクションで周りを騒がせつつ、ボーメランで先頭をキープするのだ！
1,クラクション,ホムへい,3,クラクションでお散歩中の相手をホムへいでスーッとかわして、もうここはずんだもんの一人勝ちなのだ〜！
1,クラクション,ミラクル8,3,順位1位はずんだもんなのだ！今回のゴールの可愛さ、わかりますか～？
1,クラクション,緑甲羅,3,ボクのクラクションはみんなを疲れさせるためにあるんだ！
1,クラクション,赤甲羅,3,ボクはクラクションを持って1位をキープなのだ！でも青い甲羅は怖いのだ…赤甲羅を使って逆転なのだ！
1,クラクション,金キノ,3,ぼく、もうすぐゴールなのだ！でも、金キノを持っているので、先に使うのだ？！
1,ゲッソー,ゲッソー,3,今回はコイン10枚での人生最高の1位なのだ！ゲッソーで攻め、ゲッソーで守るなのだ！
1,ゲッソー,コイン,3,あと少しでゴールなのだ！くお〜んっ！……ゲッソーのせいで飛び出しちゃった！
1,ゲッソー,サンダー,3,さて、3周目に突入するのだ！ラッキーセブンが狙えそうなのだ！
1,ゲッソー,スター,3,ボクの名はずんだもん、すでに1位なのだ！でも安心は禁物、スターの出番だなのだ？
1,ゲッソー,テレサ,3,ずんだもんなのだ！ ゲッソーで順位をキープして、あとはテレサに注意して勝つのだ！
1,ゲッソー,トゲゾーこうら,3,ゲッソをもらったのだ！怖いものなしのずんだもんだ！
1,ゲッソー,トリプルキノコ,3,このままゲッソー投げ続けて1位を固めるのだ！でも裏アイテムは万全に用意してなきゃなのだ？
1,ゲッソー,トリプルバナナ,3,さぁて、最後のラップだのだ！ずんだもん、トップ走行中だのだ！この調子でファイナルラップを駆け抜けるのだ！
1,ゲッソー,トリプル緑甲羅,3,ボク、まだまだ勝負は終わってないのだ！緑甲羅3発、行くのだ！
1,ゲッソー,トリプル赤甲羅,3,ボク、もう勝てるのだ！ゲッソーとトリプル赤甲羅、この組み合わせならビリビリ走れるなのだ！
1,ゲッソー,バナナ,3,1位キープするのだ！しかしバナナで転ばずに、先にゲッソーを投げるのだ！
1,ゲッソー,パックン,3,ずんだもんが調子に乗るのだ！でも、落ち着かないのだ、どうしよう！
1,ゲッソー,ファイアフラワー,3,さあ、最後のラップだ！皆さんも最後の力を出して、ボクと一緒にゴール目指すのだ！
1,ゲッソー,ブーメラン,3,こんな時こそボクの得意技、ゲッソーの出番なのだ！勝利はボクのものなのだ！
1,ゲッソー,ホムへい,3,ずんだもんだってば！ここは余裕の1位なんのだ！
1,ゲッソー,ミラクル8,3,ボクが1位なのだ！あとはゲッソー！今こそ、決めるのだ！ミラクル8！さぁ、行くのだ！？
1,ゲッソー,緑甲羅,3,さぁ最終ラップ！ゲッソーよりも緑甲羅の方が強いのだ！
1,ゲッソー,赤甲羅,3,おおっと、1位をキープだのだ！ゲッソーと赤甲羅の使い分けがポイントなのだ！
1,ゲッソー,金キノ,3,さあ勝負なのだ！このまま1位をキープして、ゴールの日の丸を掲げるのだ！
1,コイン,コイン,3,もうちょっと貯めないといけないなのだ。コイン集めている場合じゃないのだ！
1,コイン,サンダー,3,雷ってのはね、みんなで仲良く進めてるのを台無しにするんだなのだ？
1,コイン,スター,3,ずんだもんだって負けないのだ！今日もスターの力、借りちゃおうかな？？
1,コイン,テレサ,3,コインが…コインが10枚だー！やだやだ、落ち着くのだ。さあ、3周目の勝負の始まりなのだ！
1,コイン,トゲゾーこうら,3,ボクはトゲゾーこうらを仕込んでいるのだ！1位キープなのだ？
1,コイン,トリプルキノコ,3,楽勝なのだ！ボクのトリプルキノコで１位キープなのだ！今回は高みの見物のようなものなのだ？！
1,コイン,トリプルバナナ,3,ボクのトリプルバナナが熟成中♪食べてみるの〜？？
1,コイン,トリプル緑甲羅,3,1位からなのだ？余裕でグリーンシェルで刈り取るのだ！
1,コイン,トリプル赤甲羅,3,コインあんまり意味ないのだ…でもトリプル赤甲羅ならみんなを撃破なのだ！
1,コイン,バナナ,3,10枚のコインで勝利を掴むのだ！バナナには注意するのだ！
1,コイン,パックン,3,ずんだもんなのだ！1位を堅持中！パックンに捕まらないように気をつけなのだ〜！
1,コイン,ファイアフラワー,3,ボク、1位の座をキープしとるのだ！ファイアフラワーで攻めるのだ！
1,コイン,ブーメラン,3,まだまだ楽しいのだ！でも、ブーメランなのだ？う〜ん、気をつけないとなのだ！
1,コイン,ホムへい,3,ボク、最終ラップ突入なのだ！今、コインGETで余裕のホムへい準備中なのだ！
1,コイン,ミラクル8,3,ミラクル8の毒牙が出るのだ！でも、私には十分なコインがあるのだ！
1,コイン,緑甲羅,3,コイン集めてるのだ！でももしかしたら、甲羅投げて1位キープするのだ？
1,コイン,赤甲羅,3,ボク、こんな時はチキータという赤甲羅を持って遊ぶのだ！
1,コイン,金キノ,3,ボクにいいことが訪れるのだ！さあ、金キノ使ってみるのだ？
1,サンダー,サンダー,3,接近禁止なのだ！雷で焼きもどせのだ～！
1,サンダー,スター,3,もう1位なのだ！最後まで集中するのだ！
